Employee_ID,Work_Schedule_ID,Day_Name,Other_Details


,
,,
,,,
Test,,,
Test,Test,,
Test,Test,Test,
Test,Test,Test,Test
Dup,Dup,Dup,Dup
Dup,Dup,Dup,Dup
EM0001,WW0001,Sunday,Tuesday,Detail
EM0001,WW0002,Monday,Thursday,
Detail
EM0001,WW0003,Monday,Wednesday,Detail
EM0002,WW0004,Sunday,Wednesday,Detail
EM0002,WW0005,Sunday,Saturday,Detail
EM0002,WW0006,Monday,Thursday,Detail
EM0003,WW0007,Thursday,Sunday,Detail
EM0003,WW0008,Sunday,Saturday,Detail
EM0003,WW0009,Wednesday,Friday,Detail
EM0004,WW0010,Friday,Friday,Detail
EM0004,WW0011,Friday,Friday,Detail
EM0004,WW0012,Tuesday,Saturday,Detail
EM0005,WW0013,Tuesday,Friday,Detail
EM0005,WW0014,Sunday,Sunday,Detail
EM0005,WW0015,Wednesday,Saturday,Detail
EM0006,WW0016,Thursday,Wednesday,Detail
EM0006,WW0017,Saturday,Monday,Detail
EM0006,WW0018,Friday,Sunday,Detail
EM0007,WW0019,Tuesday,Saturday,Detail
EM0007,WW0020,Tuesday,Thursday,Detail
EM0007,WW0021,Friday,Saturday,Detail
EM0008,WW0022,Wednesday,Thursday,Detail
EM0008,WW0023,Saturday,Tuesday,Detail
EM0008,WW0024,Sunday,Sunday,Detail
EM0009,WW0025,Monday,Wednesday,Detail
EM0009,WW0026,Tuesday,Saturday,Detail
EM0009,WW0027,Sunday,Tuesday,Detail
EM0010,WW0028,Sunday,Wednesday,Detail
EM0010,WW0029,Thursday,Thursday,Detail
EM0010,WW0030,Wednesday,Sunday,Detail
EM0011,WW0031,Friday,Friday,Detail
EM0011,WW0032,Wednesday,Wednesday,Detail
EM0011,WW0033,Thursday,Wednesday,Detail
EM0012,WW0034,Friday,Tuesday,Detail
EM0012,WW0035,Saturday,Wednesday,Detail
EM0012,WW0036,Thursday,Wednesday,Detail
EM0013,WW0037,Friday,Sunday,Detail
EM0013,WW0038,Friday,Monday,Detail
EM0013,WW0039,Sunday,Saturday,Detail
EM0014,WW0040,Tuesday,Thursday,Detail
EM0014,WW0041,Thursday,Tuesday,Detail
EM0014,WW0042,Friday,Saturday,Detail
EM0015,WW0043,Friday,Sunday,Detail
EM0015,WW0044,Sunday,Tuesday,Detail
EM0015,WW0045,Sunday,Thursday,Detail
EM0016,WW0046,Monday,Saturday,Detail
EM0016,WW0047,Tuesday,Monday,Detail
EM0016,WW0048,Sunday,Sunday,Detail
EM0017,WW0049,Saturday,Tuesday,Detail
EM0017,WW0050,Friday,Tuesday,Detail
EM0017,WW0051,Wednesday,Friday,Detail
EM0018,WW0052,Saturday,Saturday,Detail
EM0018,WW0053,Thursday,Thursday,Detail
EM0018,WW0054,Monday,Monday,Detail
EM0019,WW0055,Friday,Tuesday,Detail
EM0019,WW0056,Saturday,Wednesday,Detail
EM0019,WW0057,Saturday,Saturday,Detail
EM0020,WW0058,Sunday,Friday,Detail
EM0020,WW0059,Monday,Sunday,Detail
EM0020,WW0060,Saturday,Saturday,Detail
EM0021,WW0061,Monday,Saturday,Detail
EM0021,WW0062,Sunday,Wednesday,Detail
EM0021,WW0063,Thursday,Friday,Detail
EM0022,WW0064,Saturday,Tuesday,Detail
EM0022,WW0065,Tuesday,Sunday,Detail
EM0022,WW0066,Wednesday,Monday,Detail
EM0023,WW0067,Sunday,Thursday,Detail
EM0023,WW0068,Sunday,Wednesday,Detail
EM0023,WW0069,Friday,Friday,Detail
EM0024,WW0070,Monday,Friday,Detail
EM0024,WW0071,Thursday,Thursday,Detail
EM0024,WW0072,Wednesday,Tuesday,Detail
EM0025,WW0073,Friday,Saturday,Detail
EM0025,WW0074,Tuesday,Wednesday,Detail
EM0025,WW0075,Wednesday,Tuesday,Detail
EM0026,WW0076,Wednesday,Saturday,Detail
EM0026,WW0077,Saturday,Saturday,Detail
EM0026,WW0078,Friday,Friday,Detail
EM0027,WW0079,Thursday,Wednesday,Detail
EM0027,WW0080,Saturday,Monday,Detail
EM0027,WW0081,Monday,Thursday,Detail
EM0028,WW0082,Thursday,Thursday,Detail
EM0028,WW0083,Thursday,Thursday,Detail
EM0028,WW0084,Wednesday,Thursday,Detail
EM0029,WW0085,Monday,Thursday,Detail
EM0029,WW0086,Monday,Saturday,Detail
EM0029,WW0087,Monday,Friday,Detail
EM0030,WW0088,Wednesday,Saturday,Detail
EM0030,WW0089,Wednesday,Sunday,Detail
EM0030,WW0090,Tuesday,Tuesday,Detail
EM0031,WW0091,Thursday,Thursday,Detail
EM0031,WW0092,Thursday,Saturday,Detail
EM0031,WW0093,Wednesday,Friday,Detail
EM0032,WW0094,Sunday,Sunday,Detail
EM0032,WW0095,Monday,Tuesday,Detail
EM0032,WW0096,Thursday,Sunday,Detail
EM0033,WW0097,Friday,Sunday,Detail
EM0033,WW0098,Sunday,Friday,Detail
EM0033,WW0099,Friday,Sunday,Detail
EM0034,WW0100,Monday,Thursday,Detail
EM0034,WW0101,Tuesday,Wednesday,Detail
EM0034,WW0102,Friday,Thursday,Detail
