Work_Schedule_Id,Day_Name,Start_Date_Time,End_Date_Time,Other_Details


,
,,
,,,
,,,,
Test,,,,
Test,Test,,,
Test,Test,Test,,
Test,Test,Test,Test,
Test,Test,Test,Test,Test
Dup,Dup,Dup,Dup,Dup
Dup,Dup,Dup,Dup,Dup
WW0001,Tuesday,Sunday,2020-01-01 8:5:31,2020-01-01 14:7:56,Detail
WW0002,Friday,Friday,2020-01-01 15:21:32,2020-01-01 22:37:11,
Detail
WW0003,Saturday,Thursday,2020-01-01 23:33:11,2020-01-01 6:31:3,Detail
WW0004,Sunday,Sunday,2020-01-01 0:0:11,2020-01-01 7:0:26,Detail
WW0005,Wednesday,Thursday,2020-01-01 14:5:54,2020-01-01 15:39:42,Detail
WW0006,Monday,Monday,2020-01-01 22:11:20,2020-01-01 23:19:3,Detail
WW0007,Wednesday,Tuesday,2020-01-01 6:14:40,2020-01-01 0:0:0,Detail
WW0008,Monday,Friday,2020-01-01 8:27:8,2020-01-01 14:47:27,Detail
WW0009,Tuesday,Saturday,2020-01-01 15:8:36,2020-01-01 22:36:12,Detail
WW0010,Thursday,Monday,2020-01-01 23:37:3,2020-01-01 6:50:41,Detail
WW0011,Saturday,Thursday,2020-01-01 0:0:39,2020-01-01 7:43:7,Detail
WW0012,Monday,Thursday,2020-01-01 14:32:46,2020-01-01 16:40:12,Detail
WW0013,Sunday,Monday,2020-01-01 22:28:57,2020-01-01 23:50:17,Detail
WW0014,Wednesday,Monday,2020-01-01 6:7:58,2020-01-01 0:0:3,Detail
WW0015,Saturday,Saturday,2020-01-01 7:10:38,2020-01-01 14:40:15,Detail
WW0016,Wednesday,Sunday,2020-01-01 15:22:25,2020-01-01 22:46:14,Detail
WW0017,Thursday,Saturday,2020-01-01 23:24:35,2020-01-01 6:42:39,Detail
WW0018,Tuesday,Monday,2020-01-01 0:0:29,2020-01-01 8:27:6,Detail
WW0019,Thursday,Friday,2020-01-01 14:20:11,2020-01-01 15:54:3,Detail
WW0020,Tuesday,Sunday,2020-01-01 22:7:19,2020-01-01 23:9:13,Detail
WW0021,Sunday,Friday,2020-01-01 6:25:13,2020-01-01 0:0:38,Detail
